"Table","Year","Month","Variable","Value"
"Analysis and breakdown of energy use",2016,"JUL","Waddell Generation Energy (MWH)","14511.141514979801"
"Analysis and breakdown of energy use",2016,"AUG","Waddell Generation Energy (MWH)","9240.355367309241"
"Analysis and breakdown of energy use",2016,"SEP","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2016,"OCT","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2016,"NOV","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2016,"DEC","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2016,"TOTAL","Waddell Generation Energy (MWH)","40650.552496456345"
"Analysis and breakdown of energy use",2017,"JAN","Waddell Generation Energy (MWH)","543.06392299236506"
"Analysis and breakdown of energy use",2017,"FEB","Waddell Generation Energy (MWH)","1212.3242803315748"
"Analysis and breakdown of energy use",2017,"MAR","Waddell Generation Energy (MWH)","32.851695553880923"
"Analysis and breakdown of energy use",2017,"APR","Waddell Generation Energy (MWH)","0.94689544695969718"
"Analysis and breakdown of energy use",2017,"MAY","Waddell Generation Energy (MWH)","230.21998492841021"
"Analysis and breakdown of energy use",2017,"JUN","Waddell Generation Energy (MWH)","15895.624114544094"
"Analysis and breakdown of energy use",2017,"JUL","Waddell Generation Energy (MWH)","12136.795650781502"
"Analysis and breakdown of energy use",2017,"AUG","Waddell Generation Energy (MWH)","9944.4195556750456"
"Analysis and breakdown of energy use",2017,"SEP","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2017,"OCT","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2017,"NOV","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2017,"DEC","Waddell Generation Energy (MWH)","9.8083964350448287"
"Analysis and breakdown of energy use",2017,"TOTAL","Waddell Generation Energy (MWH)","40006.054496688877"
"Analysis and breakdown of energy use",2018,"JAN","Waddell Generation Energy (MWH)","702.99006867204707"
"Analysis and breakdown of energy use",2018,"FEB","Waddell Generation Energy (MWH)","2236.3113790504899"
"Analysis and breakdown of energy use",2018,"MAR","Waddell Generation Energy (MWH)","3012.9924642049727"
"Analysis and breakdown of energy use",2018,"APR","Waddell Generation Energy (MWH)","1044.425677996546"
"Analysis and breakdown of energy use",2018,"MAY","Waddell Generation Energy (MWH)","753.46125094197532"
"Analysis and breakdown of energy use",2018,"JUN","Waddell Generation Energy (MWH)","14451.36623963829"
"Analysis and breakdown of energy use",2018,"JUL","Waddell Generation Energy (MWH)","14279.828496924818"
"Analysis and breakdown of energy use",2018,"AUG","Waddell Generation Energy (MWH)","16550.405806515493"
"Analysis and breakdown of energy use",2018,"SEP","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2018,"OCT","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2018,"NOV","Waddell Generation Energy (MWH)","13.620482290881665"
"Analysis and breakdown of energy use",2018,"DEC","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2018,"TOTAL","Waddell Generation Energy (MWH)","53045.401866235516"
"Analysis and breakdown of energy use",2019,"JAN","Waddell Generation Energy (MWH)","2506.933714525439"
"Analysis and breakdown of energy use",2019,"FEB","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2019,"MAR","Waddell Generation Energy (MWH)","18.934962702452861"
"Analysis and breakdown of energy use",2019,"APR","Waddell Generation Energy (MWH)","2064.1243137551173"
"Analysis and breakdown of energy use",2019,"MAY","Waddell Generation Energy (MWH)","2413.2152245366124"
"Analysis and breakdown of energy use",2019,"JUN","Waddell Generation Energy (MWH)","11780.352331035441"
"Analysis and breakdown of energy use",2019,"JUL","Waddell Generation Energy (MWH)","11236.261045961823"
"Analysis and breakdown of energy use",2019,"AUG","Waddell Generation Energy (MWH)","7553.8558009853941"
"Analysis and breakdown of energy use",2019,"SEP","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2019,"OCT","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2019,"NOV","Waddell Generation Energy (MWH)","187.78393597311737"
"Analysis and breakdown of energy use",2019,"DEC","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2019,"TOTAL","Waddell Generation Energy (MWH)","37761.461329475394"
"Analysis and breakdown of energy use",2020,"JAN","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2020,"FEB","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2020,"MAR","Waddell Generation Energy (MWH)","3056.318613413714"
"Analysis and breakdown of energy use",2020,"APR","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2020,"MAY","Waddell Generation Energy (MWH)","1947.3030896759628"
"Analysis and breakdown of energy use",2020,"JUN","Waddell Generation Energy (MWH)","11782.808138658635"
"Analysis and breakdown of energy use",2020,"JUL","Waddell Generation Energy (MWH)","13657.388393424346"
"Analysis and breakdown of energy use",2020,"AUG","Waddell Generation Energy (MWH)","12764.783789070392"
"Analysis and breakdown of energy use",2020,"SEP","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2020,"OCT","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2020,"NOV","Waddell Generation Energy (MWH)","661.03074604370647"
"Analysis and breakdown of energy use",2020,"DEC","Waddell Generation Energy (MWH)","0"
"Analysis and breakdown of energy use",2020,"TOTAL","Waddell Generation Energy (MWH)","43869.632770286757"
"Analysis and breakdown of energy use",2008,"JAN","Total Scheduled Energy (3) (MWH)","265933.69900000002"
"Analysis and breakdown of energy use",2008,"FEB","Total Scheduled Energy (3) (MWH)","254393.11499999999"
"Analysis and breakdown of energy use",2008,"MAR","Total Scheduled Energy (3) (MWH)","271020.99800000002"
"Analysis and breakdown of energy use",2008,"APR","Total Scheduled Energy (3) (MWH)","270772.386"
"Analysis and breakdown of energy use",2008,"MAY","Total Scheduled Energy (3) (MWH)","279964.02800000005"
"Analysis and breakdown of energy use",2008,"JUN","Total Scheduled Energy (3) (MWH)","211408.41900000002"
"Analysis and breakdown of energy use",2008,"JUL","Total Scheduled Energy (3) (MWH)","142202.91999999998"
"Analysis and breakdown of energy use",2008,"AUG","Total Scheduled Energy (3) (MWH)","125149.78200000001"
"Analysis and breakdown of energy use",2008,"SEP","Total Scheduled Energy (3) (MWH)","168829.228"
"Analysis and breakdown of energy use",2008,"OCT","Total Scheduled Energy (3) (MWH)","221055.71299999999"
"Analysis and breakdown of energy use",2008,"NOV","Total Scheduled Energy (3) (MWH)","267865.09700000001"
"Analysis and breakdown of energy use",2008,"DEC","Total Scheduled Energy (3) (MWH)","112318.302"
"Analysis and breakdown of energy use",2008,"TOTAL","Total Scheduled Energy (3) (MWH)","2590913.6870000004"
"Analysis and breakdown of energy use",2009,"JAN","Total Scheduled Energy (3) (MWH)","289511.57500000001"
"Analysis and breakdown of energy use",2009,"FEB","Total Scheduled Energy (3) (MWH)","253021.52"
"Analysis and breakdown of energy use",2009,"MAR","Total Scheduled Energy (3) (MWH)","281054.45399999997"
"Analysis and breakdown of energy use",2009,"APR","Total Scheduled Energy (3) (MWH)","277550.49"
"Analysis and breakdown of energy use",2009,"MAY","Total Scheduled Energy (3) (MWH)","260908.51"
"Analysis and breakdown of energy use",2009,"JUN","Total Scheduled Energy (3) (MWH)","161928.77400000003"
"Analysis and breakdown of energy use",2009,"JUL","Total Scheduled Energy (3) (MWH)","135577.82800000001"
"Analysis and breakdown of energy use",2009,"AUG","Total Scheduled Energy (3) (MWH)","129925.72699999998"
"Analysis and breakdown of energy use",2009,"SEP","Total Scheduled Energy (3) (MWH)","243576.492"
"Analysis and breakdown of energy use",2009,"OCT","Total Scheduled Energy (3) (MWH)","221347.46599999999"
"Analysis and breakdown of energy use",2009,"NOV","Total Scheduled Energy (3) (MWH)","216719.29699999999"
"Analysis and breakdown of energy use",2009,"DEC","Total Scheduled Energy (3) (MWH)","248550.44399999996"
"Analysis and breakdown of energy use",2009,"TOTAL","Total Scheduled Energy (3) (MWH)","2719672.5769999996"
"Analysis and breakdown of energy use",2010,"JAN","Total Scheduled Energy (3) (MWH)","213218.90200000003"
"Analysis and breakdown of energy use",2010,"FEB","Total Scheduled Energy (3) (MWH)","154183.166"
"Analysis and breakdown of energy use",2010,"MAR","Total Scheduled Energy (3) (MWH)","221118.65299999999"
"Analysis and breakdown of energy use",2010,"APR","Total Scheduled Energy (3) (MWH)","263080.35600000003"
"Analysis and breakdown of energy use",2010,"MAY","Total Scheduled Energy (3) (MWH)","279810.28800000006"
"Analysis and breakdown of energy use",2010,"JUN","Total Scheduled Energy (3) (MWH)","279826.97499999998"
"Analysis and breakdown of energy use",2010,"JUL","Total Scheduled Energy (3) (MWH)","95209.62999999999"
"Analysis and breakdown of energy use",2010,"AUG","Total Scheduled Energy (3) (MWH)","148970.40599999999"
"Analysis and breakdown of energy use",2010,"SEP","Total Scheduled Energy (3) (MWH)","269985.69700000004"
"Analysis and breakdown of energy use",2010,"OCT","Total Scheduled Energy (3) (MWH)","252770.60800000001"
"Analysis and breakdown of energy use",2010,"NOV","Total Scheduled Energy (3) (MWH)","244360.71299999999"
"Analysis and breakdown of energy use",2010,"DEC","Total Scheduled Energy (3) (MWH)","294896.97500000003"
"Analysis and breakdown of energy use",2010,"TOTAL","Total Scheduled Energy (3) (MWH)","2717432.3690000004"
"Analysis and breakdown of energy use",2011,"JAN","Total Scheduled Energy (3) (MWH)","159072.28"
"Analysis and breakdown of energy use",2011,"FEB","Total Scheduled Energy (3) (MWH)","227205.46599999999"
"Analysis and breakdown of energy use",2011,"MAR","Total Scheduled Energy (3) (MWH)","299395.908"
"Analysis and breakdown of energy use",2011,"APR","Total Scheduled Energy (3) (MWH)","297089.96400000004"
"Analysis and breakdown of energy use",2011,"MAY","Total Scheduled Energy (3) (MWH)","272898.19299999997"
"Analysis and breakdown of energy use",2011,"JUN","Total Scheduled Energy (3) (MWH)","242833.79700000002"
"Analysis and breakdown of energy use",2011,"JUL","Total Scheduled Energy (3) (MWH)","129299.561"
"Analysis and breakdown of energy use",2011,"AUG","Total Scheduled Energy (3) (MWH)","110880.53900000002"
"Analysis and breakdown of energy use",2011,"SEP","Total Scheduled Energy (3) (MWH)","182982.78000000003"
"Analysis and breakdown of energy use",2011,"OCT","Total Scheduled Energy (3) (MWH)","244743.446"
"Analysis and breakdown of energy use",2011,"NOV","Total Scheduled Energy (3) (MWH)","283284.12000000005"
"Analysis and breakdown of energy use",2011,"DEC","Total Scheduled Energy (3) (MWH)","248543.777"
"Analysis and breakdown of energy use",2011,"TOTAL","Total Scheduled Energy (3) (MWH)","2698229.8310000002"
"Analysis and breakdown of energy use",2012,"JAN","Total Scheduled Energy (3) (MWH)","310890.46255822846"
"Analysis and breakdown of energy use",2012,"FEB","Total Scheduled Energy (3) (MWH)","286734.35958763957"
"Analysis and breakdown of energy use",2012,"MAR","Total Scheduled Energy (3) (MWH)","314253.79342196829"
"Analysis and breakdown of energy use",2012,"APR","Total Scheduled Energy (3) (MWH)","304744.28469172237"
"Analysis and breakdown of energy use",2012,"MAY","Total Scheduled Energy (3) (MWH)","303299.4738203517"
"Analysis and breakdown of energy use",2012,"JUN","Total Scheduled Energy (3) (MWH)","222142.12260813866"
"Analysis and breakdown of energy use",2012,"JUL","Total Scheduled Energy (3) (MWH)","81823.453605000832"
"Analysis and breakdown of energy use",2012,"AUG","Total Scheduled Energy (3) (MWH)","155076.81076441024"
"Analysis and breakdown of energy use",2012,"SEP","Total Scheduled Energy (3) (MWH)","235192.49718099195"
"Analysis and breakdown of energy use",2012,"OCT","Total Scheduled Energy (3) (MWH)","74137.356895092176"
"Analysis and breakdown of energy use",2012,"NOV","Total Scheduled Energy (3) (MWH)","283793.02752921317"
"Analysis and breakdown of energy use",2012,"DEC","Total Scheduled Energy (3) (MWH)","230157.28090254185"
"Analysis and breakdown of energy use",2012,"TOTAL","Total Scheduled Energy (3) (MWH)","2802244.9235652993"
"Analysis and breakdown of energy use",2013,"JAN","Total Scheduled Energy (3) (MWH)","145272.40067845478"
"Analysis and breakdown of energy use",2013,"FEB","Total Scheduled Energy (3) (MWH)","252233.06824980528"
"Analysis and breakdown of energy use",2013,"MAR","Total Scheduled Energy (3) (MWH)","303477.32068865228"
"Analysis and breakdown of energy use",2013,"APR","Total Scheduled Energy (3) (MWH)","257800.78037279978"
"Analysis and breakdown of energy use",2013,"MAY","Total Scheduled Energy (3) (MWH)","291501.67300000001"
"Analysis and breakdown of energy use",2013,"JUN","Total Scheduled Energy (3) (MWH)","222162.78700000001"
"Analysis and breakdown of energy use",2013,"JUL","Total Scheduled Energy (3) (MWH)","151585.49699999997"
"Analysis and breakdown of energy use",2013,"AUG","Total Scheduled Energy (3) (MWH)","174293.774"
"Analysis and breakdown of energy use",2013,"SEP","Total Scheduled Energy (3) (MWH)","254299.26875123347"
"Analysis and breakdown of energy use",2013,"OCT","Total Scheduled Energy (3) (MWH)","306186.58932433132"
"Analysis and breakdown of energy use",2013,"NOV","Total Scheduled Energy (3) (MWH)","236044.05714567646"
"Analysis and breakdown of energy use",2013,"DEC","Total Scheduled Energy (3) (MWH)","228813.68118152139"
"Analysis and breakdown of energy use",2013,"TOTAL","Total Scheduled Energy (3) (MWH)","2823670.897392475"
"Analysis and breakdown of energy use",2014,"JAN","Total Scheduled Energy (3) (MWH)","146721.3144019898"
"Analysis and breakdown of energy use",2014,"FEB","Total Scheduled Energy (3) (MWH)","216490.89206258114"
"Analysis and breakdown of energy use",2014,"MAR","Total Scheduled Energy (3) (MWH)","298315.49878343288"
"Analysis and breakdown of energy use",2014,"APR","Total Scheduled Energy (3) (MWH)","301578.4499039182"
"Analysis and breakdown of energy use",2014,"MAY","Total Scheduled Energy (3) (MWH)","307951.79717752739"
"Analysis and breakdown of energy use",2014,"JUN","Total Scheduled Energy (3) (MWH)","229492.93833534289"
"Analysis and breakdown of energy use",2014,"JUL","Total Scheduled Energy (3) (MWH)","169584.48866282581"
"Analysis and breakdown of energy use",2014,"AUG","Total Scheduled Energy (3) (MWH)","183834.25375755673"
"Analysis and breakdown of energy use",2014,"SEP","Total Scheduled Energy (3) (MWH)","237917.46808205661"
"Analysis and breakdown of energy use",2014,"OCT","Total Scheduled Energy (3) (MWH)","195803.38717813554"
"Analysis and breakdown of energy use",2014,"NOV","Total Scheduled Energy (3) (MWH)","219083.46176863153"
"Analysis and breakdown of energy use",2014,"DEC","Total Scheduled Energy (3) (MWH)","196364.74419059453"
"Analysis and breakdown of energy use",2014,"TOTAL","Total Scheduled Energy (3) (MWH)","2703138.6943045929"
"Analysis and breakdown of energy use",2015,"JAN","Total Scheduled Energy (3) (MWH)","296551.29384424491"
"Analysis and breakdown of energy use",2015,"FEB","Total Scheduled Energy (3) (MWH)","192492.64515510257"
"Analysis and breakdown of energy use",2015,"MAR","Total Scheduled Energy (3) (MWH)","248628.21287722135"
"Analysis and breakdown of energy use",2015,"APR","Total Scheduled Energy (3) (MWH)","264283.28820304433"
"Analysis and breakdown of energy use",2015,"MAY","Total Scheduled Energy (3) (MWH)","298143.57676118927"
"Analysis and breakdown of energy use",2015,"JUN","Total Scheduled Energy (3) (MWH)","144795.32281807699"
"Analysis and breakdown of energy use",2015,"JUL","Total Scheduled Energy (3) (MWH)","133860.47812869458"
"Analysis and breakdown of energy use",2015,"AUG","Total Scheduled Energy (3) (MWH)","128907.9567693702"
"Analysis and breakdown of energy use",2015,"SEP","Total Scheduled Energy (3) (MWH)","272640.98382446117"
"Analysis and breakdown of energy use",2015,"OCT","Total Scheduled Energy (3) (MWH)","196608.40280135028"
"Analysis and breakdown of energy use",2015,"NOV","Total Scheduled Energy (3) (MWH)","188177.62231939757"
"Analysis and breakdown of energy use",2015,"DEC","Total Scheduled Energy (3) (MWH)","214535.40706345404"
"Analysis and breakdown of energy use",2015,"TOTAL","Total Scheduled Energy (3) (MWH)","2579625.1905656075"
"Analysis and breakdown of energy use",2016,"JAN","Total Scheduled Energy (3) (MWH)","255606.50074844219"
"Analysis and breakdown of energy use",2016,"FEB","Total Scheduled Energy (3) (MWH)","194092.09330173981"
"Analysis and breakdown of energy use",2016,"MAR","Total Scheduled Energy (3) (MWH)","210016.31127513459"
"Analysis and breakdown of energy use",2016,"APR","Total Scheduled Energy (3) (MWH)","286583.06600884959"
"Analysis and breakdown of energy use",2016,"MAY","Total Scheduled Energy (3) (MWH)","298342.97929550766"
"Analysis and breakdown of energy use",2016,"JUN","Total Scheduled Energy (3) (MWH)","161791.05344385831"
"Analysis and breakdown of energy use",2016,"JUL","Total Scheduled Energy (3) (MWH)","141557.2064850202"
"Analysis and breakdown of energy use",2016,"AUG","Total Scheduled Energy (3) (MWH)","124374.09663269075"
"Analysis and breakdown of energy use",2016,"SEP","Total Scheduled Energy (3) (MWH)","227625.17651908594"
"Analysis and breakdown of energy use",2016,"OCT","Total Scheduled Energy (3) (MWH)","211650.10533627629"
"Analysis and breakdown of energy use",2016,"NOV","Total Scheduled Energy (3) (MWH)","225706.35182498052"
"Analysis and breakdown of energy use",2016,"DEC","Total Scheduled Energy (3) (MWH)","200548.82779580145"
"Analysis and breakdown of energy use",2016,"TOTAL","Total Scheduled Energy (3) (MWH)","2537893.7686673878"
"Analysis and breakdown of energy use",2017,"JAN","Total Scheduled Energy (3) (MWH)","216235.28810349604"
"Analysis and breakdown of energy use",2017,"FEB","Total Scheduled Energy (3) (MWH)","106816.43676900625"
"Analysis and breakdown of energy use",2017,"MAR","Total Scheduled Energy (3) (MWH)","236289.72894765568"
"Analysis and breakdown of energy use",2017,"APR","Total Scheduled Energy (3) (MWH)","272216.72317686985"
"Analysis and breakdown of energy use",2017,"MAY","Total Scheduled Energy (3) (MWH)","296280.02447728917"
"Analysis and breakdown of energy use",2017,"JUN","Total Scheduled Energy (3) (MWH)","151465.5738854559"
"Analysis and breakdown of energy use",2017,"JUL","Total Scheduled Energy (3) (MWH)","141667.84634921848"
"Analysis and breakdown of energy use",2017,"AUG","Total Scheduled Energy (3) (MWH)","138870.87844432498"
"Analysis and breakdown of energy use",2017,"SEP","Total Scheduled Energy (3) (MWH)","229015.51025759545"
"Analysis and breakdown of energy use",2017,"OCT","Total Scheduled Energy (3) (MWH)","210261.87335860817"
"Analysis and breakdown of energy use",2017,"NOV","Total Scheduled Energy (3) (MWH)","199879.6676045183"
"Analysis and breakdown of energy use",2017,"DEC","Total Scheduled Energy (3) (MWH)","232591.19504603569"
"Analysis and breakdown of energy use",2017,"TOTAL","Total Scheduled Energy (3) (MWH)","2431590.7464200738"
"Analysis and breakdown of energy use",2018,"JAN","Total Scheduled Energy (3) (MWH)","156909.08539734289"
"Analysis and breakdown of energy use",2018,"FEB","Total Scheduled Energy (3) (MWH)","191136.40255707002"
"Analysis and breakdown of energy use",2018,"MAR","Total Scheduled Energy (3) (MWH)","241883.62566277504"
"Analysis and breakdown of energy use",2018,"APR","Total Scheduled Energy (3) (MWH)","289528.27138215769"
"Analysis and breakdown of energy use",2018,"MAY","Total Scheduled Energy (3) (MWH)","303773.85332189628"
"Analysis and breakdown of energy use",2018,"JUN","Total Scheduled Energy (3) (MWH)","162561.68076036172"
"Analysis and breakdown of energy use",2018,"JUL","Total Scheduled Energy (3) (MWH)","143628.7035030752"
"Analysis and breakdown of energy use",2018,"AUG","Total Scheduled Energy (3) (MWH)","72107.3811934845"
"Analysis and breakdown of energy use",2018,"SEP","Total Scheduled Energy (3) (MWH)","278584.59471799532"
"Analysis and breakdown of energy use",2018,"OCT","Total Scheduled Energy (3) (MWH)","286250.96044741618"
"Analysis and breakdown of energy use",2018,"NOV","Total Scheduled Energy (3) (MWH)","270767.95335333626"
"Analysis and breakdown of energy use",2018,"DEC","Total Scheduled Energy (3) (MWH)","228889.72133548636"
"Analysis and breakdown of energy use",2018,"TOTAL","Total Scheduled Energy (3) (MWH)","2626022.2336323974"
"Analysis and breakdown of energy use",2019,"JAN","Total Scheduled Energy (3) (MWH)","156402.84221175342"
"Analysis and breakdown of energy use",2019,"FEB","Total Scheduled Energy (3) (MWH)","257024.35926941142"
"Analysis and breakdown of energy use",2019,"MAR","Total Scheduled Energy (3) (MWH)","147651.85948559598"
"Analysis and breakdown of energy use",2019,"APR","Total Scheduled Energy (3) (MWH)","255740.76062526499"
"Analysis and breakdown of energy use",2019,"MAY","Total Scheduled Energy (3) (MWH)","261923.24064449116"
"Analysis and breakdown of energy use",2019,"JUN","Total Scheduled Energy (3) (MWH)","189621.38380307032"
"Analysis and breakdown of energy use",2019,"JUL","Total Scheduled Energy (3) (MWH)","179635.06495403819"
"Analysis and breakdown of energy use",2019,"AUG","Total Scheduled Energy (3) (MWH)","190928.6951821949"
"Analysis and breakdown of energy use",2019,"SEP","Total Scheduled Energy (3) (MWH)","267448.75120973907"
"Analysis and breakdown of energy use",2019,"OCT","Total Scheduled Energy (3) (MWH)","249086.23693311919"
"Analysis and breakdown of energy use",2019,"NOV","Total Scheduled Energy (3) (MWH)","195337.86260681224"
"Analysis and breakdown of energy use",2019,"DEC","Total Scheduled Energy (3) (MWH)","120327.18497384552"
"Analysis and breakdown of energy use",2019,"TOTAL","Total Scheduled Energy (3) (MWH)","2471128.2418993367"
"Analysis and breakdown of energy use",2020,"JAN","Total Scheduled Energy (3) (MWH)","130341.77731411339"
"Analysis and breakdown of energy use",2020,"FEB","Total Scheduled Energy (3) (MWH)","138234.98789405348"
"Analysis and breakdown of energy use",2020,"MAR","Total Scheduled Energy (3) (MWH)","176456.07867144735"
"Analysis and breakdown of energy use",2020,"APR","Total Scheduled Energy (3) (MWH)","265827.12255313143"
"Analysis and breakdown of energy use",2020,"MAY","Total Scheduled Energy (3) (MWH)","303159.88891032408"
"Analysis and breakdown of energy use",2020,"JUN","Total Scheduled Energy (3) (MWH)","189840.86886134135"
"Analysis and breakdown of energy use",2020,"JUL","Total Scheduled Energy (3) (MWH)","142621.67360657567"
"Analysis and breakdown of energy use",2020,"AUG","Total Scheduled Energy (3) (MWH)","120654.66822974836"
"Analysis and breakdown of energy use",2020,"SEP","Total Scheduled Energy (3) (MWH)","273961.78530355752"
"Analysis and breakdown of energy use",2020,"OCT","Total Scheduled Energy (3) (MWH)","261496.00153882103"
"Analysis and breakdown of energy use",2020,"NOV","Total Scheduled Energy (3) (MWH)","193220.46288054681"
"Analysis and breakdown of energy use",2020,"DEC","Total Scheduled Energy (3) (MWH)","230719.85053559556"
"Analysis and breakdown of energy use",2020,"TOTAL","Total Scheduled Energy (3) (MWH)","2426535.1662992556"
"Analysis and breakdown of energy use",2008,"JAN","Average Flow at HAV (cfs)","2682.3069403714567"
"Analysis and breakdown of energy use",2008,"FEB","Average Flow at HAV (cfs)","2844.9855699855698"
"Analysis and breakdown of energy use",2008,"MAR","Average Flow at HAV (cfs)","2743.9068100358422"
"Analysis and breakdown of energy use",2008,"APR","Average Flow at HAV (cfs)","2793.939393939394"
"Analysis and breakdown of energy use",2008,"MAY","Average Flow at HAV (cfs)","2802.0202020202019"
"Analysis and breakdown of energy use",2008,"JUN","Average Flow at HAV (cfs)","2163.333333333333"
"Analysis and breakdown of energy use",2008,"JUL","Average Flow at HAV (cfs)","1318.4913652655587"
"Analysis and breakdown of energy use",2008,"AUG","Average Flow at HAV (cfs)","1117.2857608341478"
"Analysis and breakdown of energy use",2008,"SEP","Average Flow at HAV (cfs)","1589.3939393939395"
"Analysis and breakdown of energy use",2008,"OCT","Average Flow at HAV (cfs)","2205.8488106875207"
"Analysis and breakdown of energy use",2008,"NOV","Average Flow at HAV (cfs)","2830.8922558922559"
"Analysis and breakdown of energy use",2008,"DEC","Average Flow at HAV (cfs)","1085.3209514499838"
"Analysis and breakdown of energy use",2008,"TOTAL","Average Flow at HAV (cfs)",NA
"Analysis and breakdown of energy use",2009,"JAN","Average Flow at HAV (cfs)","2813.7178233952427"
"Analysis and breakdown of energy use",2009,"FEB","Average Flow at HAV (cfs)","2894.4624819624823"
"Analysis and breakdown of energy use",2009,"MAR","Average Flow at HAV (cfs)","2948.0449657869012"
"Analysis and breakdown of energy use",2009,"APR","Average Flow at HAV (cfs)","2924.4612794612794"
"Analysis and breakdown of energy use",2009,"MAY","Average Flow at HAV (cfs)","2687.6344086021509"
"Analysis and breakdown of energy use",2009,"JUN","Average Flow at HAV (cfs)","1632.2727272727273"
"Analysis and breakdown of energy use",2009,"JUL","Average Flow at HAV (cfs)","1239.3124796350603"
"Analysis and breakdown of energy use",2009,"AUG","Average Flow at HAV (cfs)","1165.8031932225481"
"Analysis and breakdown of energy use",2009,"SEP","Average Flow at HAV (cfs)","2414.5622895622896"
"Analysis and breakdown of energy use",2009,"OCT","Average Flow at HAV (cfs)","2213.5386119257087"
"Analysis and breakdown of energy use",2009,"NOV","Average Flow at HAV (cfs)","2333.181818181818"
"Analysis and breakdown of energy use",2009,"DEC","Average Flow at HAV (cfs)","2446.1062235255781"
"Analysis and breakdown of energy use",2009,"TOTAL","Average Flow at HAV (cfs)",NA
"Analysis and breakdown of energy use",2010,"JAN","Average Flow at HAV (cfs)","2063.6526555881396"
"Analysis and breakdown of energy use",2010,"FEB","Average Flow at HAV (cfs)","1646.4646464646464"
"Analysis and breakdown of energy use",2010,"MAR","Average Flow at HAV (cfs)","2118.6379928315414"
"Analysis and breakdown of energy use",2010,"APR","Average Flow at HAV (cfs)","2589.4612794612794"
"Analysis and breakdown of energy use",2010,"MAY","Average Flow at HAV (cfs)","2780.7917888563052"
"Analysis and breakdown of energy use",2010,"JUN","Average Flow at HAV (cfs)","2900.3872053872051"
"Analysis and breakdown of energy use",2010,"JUL","Average Flow at HAV (cfs)","883.47996089931576"
"Analysis and breakdown of energy use",2010,"AUG","Average Flow at HAV (cfs)","1430.7429130009775"
"Analysis and breakdown of energy use",2010,"SEP","Average Flow at HAV (cfs)","2834.5454545454545"
"Analysis and breakdown of energy use",2010,"OCT","Average Flow at HAV (cfs)","2691.9354838709678"
"Analysis and breakdown of energy use",2010,"NOV","Average Flow at HAV (cfs)","2552.8282828282831"
"Analysis and breakdown of energy use",2010,"DEC","Average Flow at HAV (cfs)","3087.5529488432712"
"Analysis and breakdown of energy use",2010,"TOTAL","Average Flow at HAV (cfs)",NA
"Analysis and breakdown of energy use",2011,"JAN","Average Flow at HAV (cfs)","1465.9498207885304"
"Analysis and breakdown of energy use",2011,"FEB","Average Flow at HAV (cfs)","2413.3477633477632"
"Analysis and breakdown of energy use",2011,"MAR","Average Flow at HAV (cfs)","3026.3440860215055"
"Analysis and breakdown of energy use",2011,"APR","Average Flow at HAV (cfs)","3040.0336700336698"
"Analysis and breakdown of energy use",2011,"MAY","Average Flow at HAV (cfs)","2723.7699576409254"
"Analysis and breakdown of energy use",2011,"JUN","Average Flow at HAV (cfs)","2615.2525252525252"
"Analysis and breakdown of energy use",2011,"JUL","Average Flow at HAV (cfs)","1293.6624307592049"
"Analysis and breakdown of energy use",2011,"AUG","Average Flow at HAV (cfs)","1002.6067122841317"
"Analysis and breakdown of energy use",2011,"SEP","Average Flow at HAV (cfs)","1737.1717171717171"
"Analysis and breakdown of energy use",2011,"OCT","Average Flow at HAV (cfs)","2418.2469859889216"
"Analysis and breakdown of energy use",2011,"NOV","Average Flow at HAV (cfs)","2956.750841750842"
"Analysis and breakdown of energy use",2011,"DEC","Average Flow at HAV (cfs)","2447.8331704138159"
"Analysis and breakdown of energy use",2011,"TOTAL","Average Flow at HAV (cfs)",NA
"Analysis and breakdown of energy use",2012,"JAN","Average Flow at HAV (cfs)","2990.436624307592"
"Analysis and breakdown of energy use",2012,"FEB","Average Flow at HAV (cfs)","3035.209235209235"
"Analysis and breakdown of energy use",2012,"MAR","Average Flow at HAV (cfs)","3055.0993809058323"
