"","Variable","Jan","Feb","Mar","Q1","Apr","May","Jun","Q2","Jul","Aug","Sep","Q3","Oct","Nov","Dec","Q4","Total","Physical Turnout","Group","Subgroup","Name","Section","Year"
"2261","               Recreational Ctr (Scott Shadows) CSIF","5","5","6","16","6","6","15","27","15","15","8","38","10","6","3","19","100","SRP","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Recreational Ctr (Scott Shadows) CSIF","HASSAYAMPA PP",2013
"2262","               SRP (Excess to San Tan PP?)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","Delivered from Roosevelt Lake Account in 2012","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","SRP (Excess to San Tan PP?)","HASSAYAMPA PP",2013
"2263","               Shea Sunbelt/Vistancia","0","0","0","0","8","10","1","19","0","0","0","0","2","2","2","6","25",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Shea Sunbelt/Vistancia","HASSAYAMPA PP",2013
"2264","               thru AFRP (CAGRD)",NA,NA,NA,"0",NA,"500","306","806",NA,NA,NA,"0",NA,NA,NA,"0","806","AFR","MUNICIPAL & INDUSTRIAL:","CAGRD","thru AFRP (CAGRD)","HASSAYAMPA PP",2013
"2265","               thru HMRP (CAGRD)",NA,NA,NA,"0",NA,NA,NA,"0","6",NA,NA,"6",NA,NA,NA,"0","6","HMR","MUNICIPAL & INDUSTRIAL:","CAGRD","thru HMRP (CAGRD)","HASSAYAMPA PP",2013
"2266","               thru Scottsdale (CAGRD)","9","8","22","39","45","65","84","194","52","52","42","146","66","22","10","98","477","SC1","MUNICIPAL & INDUSTRIAL:","CAGRD","thru Scottsdale (CAGRD)","HASSAYAMPA PP",2013
"2267","                    TOTAL M&I","13613","8658","10050","32321","17000","14725","13773","45498","28743","31399","26854","86996","27560","16954","16661","61175","225990",NA,"TOTAL M&I",NA,NA,"HASSAYAMPA PP",2013
"2268","               MWD",NA,NA,"500","500","500","500","500","1500","500","500","500","1500","500",NA,NA,"500","4000",NA,"AGRICULTURAL:","AG Pool","MWD","HASSAYAMPA PP",2013
"2269","               SRP (CSIF)",NA,NA,NA,"0","500","750","750","2000",NA,"500","500","1000",NA,NA,"800","800","3800","SRP","AGRICULTURAL:","AG Pool","SRP (CSIF)","HASSAYAMPA PP",2013
"2270","                    TOTAL AG","0","0","500","500","1000","1250","1250","3500","500","1000","1000","2500","500","0","800","1300","7800",NA,"TOTAL AG",NA,NA,"HASSAYAMPA PP",2013
"2271","               Ak-Chin/Pulte/Anthem - Wad T/O","249","223","302","774","340","461","489","1290","491","492","400","1383","418","305","273","996","4443","APX","FEDERAL:","Off Reservation","Ak-Chin/Pulte/Anthem - Wad T/O","HASSAYAMPA PP",2013
"2272","               Ak-Chin/Pulte/MWD",NA,NA,"357","357",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","357","MWD","FEDERAL:","Off Reservation","Ak-Chin/Pulte/MWD","HASSAYAMPA PP",2013
"2273","               Ak-Chin/Pulte/Festrival Rch pumps","17","9","27","53","52","43","98","193","76","55","44","175","65","24","5","94","515","Pump","FEDERAL:","Off Reservation","Ak-Chin/Pulte/Festrival Rch pumps","HASSAYAMPA PP",2013
"2274","               Chandler/Assignment",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Chandler/Assignment","HASSAYAMPA PP",2013
"2275","               Gilbert/Assignment",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Gilbert/Assignment","HASSAYAMPA PP",2013
"2276","               Glendale/Assignment","682",NA,NA,"682",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","682","GLE","FEDERAL:","Off Reservation","Glendale/Assignment","HASSAYAMPA PP",2013
"2277","               Mesa/Assignment",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Mesa/Assignment","HASSAYAMPA PP",2013
"2278","               Phoenix/RWCD Assignment","1136",NA,NA,"1136",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","1136",NA,"FEDERAL:","Off Reservation","Phoenix/RWCD Assignment","HASSAYAMPA PP",2013
"2279","               Scottsdale/Assignment","23",NA,NA,"23",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","23",NA,"FEDERAL:","Off Reservation","Scottsdale/Assignment","HASSAYAMPA PP",2013
"2280","               Tempe/Assignment (CSIF)","23",NA,NA,"23",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","23","SRP","FEDERAL:","Off Reservation","Tempe/Assignment (CSIF)","HASSAYAMPA PP",2013
"2281","               Gilbert/Fort McDowell Lease (CSIF)",NA,NA,NA,"0","7500","2500",NA,"10000",NA,NA,NA,"0",NA,NA,NA,"0","10000","SRP","FEDERAL:","Off Reservation","Gilbert/Fort McDowell Lease (CSIF)","HASSAYAMPA PP",2013
"2282","               Phoenix/Fort McDowell",NA,NA,NA,"0",NA,NA,"4300","4300",NA,NA,NA,"0",NA,NA,NA,"0","4300",NA,"FEDERAL:","Off Reservation","Phoenix/Fort McDowell","HASSAYAMPA PP",2013
"2283","               Peoria/GRIC Lease (AFRP)",NA,"87",NA,"87","1051","470",NA,"1521",NA,NA,NA,"0",NA,NA,NA,"0","1608",NA,"FEDERAL:","Off Reservation","Peoria/GRIC Lease (AFRP)","HASSAYAMPA PP",2013
"2284","               Peoria/GRIC Lease (HMRP)","107",NA,"23","130",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","130",NA,"FEDERAL:","Off Reservation","Peoria/GRIC Lease (HMRP)","HASSAYAMPA PP",2013
"2285","               Peoria/GRIC Lease (Glen,SRP)","726","652","746","2124","775","1039","1038","2852","286",NA,NA,"286",NA,NA,NA,"0","5262",NA,"FEDERAL:","Off Reservation","Peoria/GRIC Lease (Glen,SRP)","HASSAYAMPA PP",2013
"2286","               Phoenix/GRIC Lease",NA,NA,NA,"0",NA,NA,"9482","9482","5518",NA,NA,"5518",NA,NA,NA,"0","15000",NA,"FEDERAL:","Off Reservation","Phoenix/GRIC Lease","HASSAYAMPA PP",2013
"2287","               Scottsdale/GRIC Lease",NA,NA,NA,"0","1943","7165","2892","12000",NA,NA,NA,"0",NA,NA,NA,"0","12000",NA,"FEDERAL:","Off Reservation","Scottsdale/GRIC Lease","HASSAYAMPA PP",2013
"2288","               Chandler/SRPMIC Lease",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Chandler/SRPMIC Lease","HASSAYAMPA PP",2013
"2289","               Gilbert/SRPMIC Lease (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0","10","300","350","660",NA,NA,NA,"0","660","SRP","FEDERAL:","Off Reservation","Gilbert/SRPMIC Lease (CSIF)","HASSAYAMPA PP",2013
"2290","               Glendale/SRPMIC Lease",NA,NA,"905","905","909",NA,NA,"909",NA,NA,NA,"0",NA,NA,NA,"0","1814","GLE","FEDERAL:","Off Reservation","Glendale/SRPMIC Lease","HASSAYAMPA PP",2013
"2291","               Mesa/SRPMIC Lease",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Mesa/SRPMIC Lease","HASSAYAMPA PP",2013
"2292","               Phoenix/SRPMIC Lease",NA,NA,NA,"0",NA,"2229","794","3023",NA,NA,NA,"0",NA,NA,NA,"0","3023",NA,"FEDERAL:","Off Reservation","Phoenix/SRPMIC Lease","HASSAYAMPA PP",2013
"2293","               Scottsdale/SRPMIC Lease","60",NA,NA,"60",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","60",NA,"FEDERAL:","Off Reservation","Scottsdale/SRPMIC Lease","HASSAYAMPA PP",2013
"2294","               Tempe/SRPMIC Lease (CSIF)","60",NA,NA,"60",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","60","SRP","FEDERAL:","Off Reservation","Tempe/SRPMIC Lease (CSIF)","HASSAYAMPA PP",2013
"2295","               Fort McDowell Tribe - SRP (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,"250",NA,"250","250","SRP","FEDERAL:","Off Reservation","Fort McDowell Tribe - SRP (CSIF)","HASSAYAMPA PP",2013
"2296","               SCAT - SRP (FCX) CSIF","740","668","789","2197","916","458","539","1913","380","569","752","1701","705","1082","497","2284","8095","SRP","FEDERAL:","Off Reservation","SCAT - SRP (FCX) CSIF","HASSAYAMPA PP",2013
"2297","               SRP/GRIC (CSIF)",NA,NA,NA,"0",NA,"12000","9500","21500","4889",NA,NA,"4889",NA,NA,NA,"0","26389","SRP","FEDERAL:","Off Reservation","SRP/GRIC (CSIF)","HASSAYAMPA PP",2013
"2298","               Tohono Nation (AFRP)",NA,NA,"3392","3392","1609","2028","2656","6293",NA,NA,NA,"0",NA,NA,NA,"0","9685","AFR","FEDERAL:","Off Reservation","Tohono Nation (AFRP)","HASSAYAMPA PP",2013
"2299","               Tohono Nation (HMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","HMR","FEDERAL:","Off Reservation","Tohono Nation (HMRP)","HASSAYAMPA PP",2013
"2300","               Chandler/Welton-Mohawk (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,"500","1000","1500","278",NA,NA,"278","1778","SRP","FEDERAL:","Off Reservation","Chandler/Welton-Mohawk (CSIF)","HASSAYAMPA PP",2013
"2301","               Gilbert/Welton-Mohawk (CSIF)",NA,NA,NA,"0","477","1118","161","1756",NA,NA,NA,"0",NA,NA,NA,"0","1756","SRP","FEDERAL:","Off Reservation","Gilbert/Welton-Mohawk (CSIF)","HASSAYAMPA PP",2013
"2302","               Glendale/Welton-Mohawk","689","1437","724","2850",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","2850","GLE","FEDERAL:","Off Reservation","Glendale/Welton-Mohawk","HASSAYAMPA PP",2013
"2303","               Mesa/Welton-Mohawk",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Mesa/Welton-Mohawk","HASSAYAMPA PP",2013
"2304","               Phoenix/Welton-Mohawk",NA,NA,NA,"0",NA,"4750",NA,"4750",NA,NA,NA,"0",NA,NA,NA,"0","4750",NA,"FEDERAL:","Off Reservation","Phoenix/Welton-Mohawk","HASSAYAMPA PP",2013
"2305","               Scottsdale/Welton-Mohawk","95",NA,NA,"95",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","95",NA,"FEDERAL:","Off Reservation","Scottsdale/Welton-Mohawk","HASSAYAMPA PP",2013
"2306","               Tempe/Welton-Mohawk (CSIF)","95",NA,NA,"95",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","95","SRP","FEDERAL:","Off Reservation","Tempe/Welton-Mohawk (CSIF)","HASSAYAMPA PP",2013
"2307","               Scottsdale/SCAT Lease","216","3609","4563","8388","4112",NA,NA,"4112",NA,NA,NA,"0",NA,NA,NA,"0","12500",NA,"FEDERAL:","Off Reservation","Scottsdale/SCAT Lease","HASSAYAMPA PP",2013
"2308","               Scottsdale/Yavapai-Prescott","500",NA,NA,"500",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","500",NA,"FEDERAL:","Off Reservation","Scottsdale/Yavapai-Prescott","HASSAYAMPA PP",2013
"2309","                    TOTAL FEDERAL","5418","6685","11828","23931","19684","34261","31949","85894","11650","1916","2546","16112","1466","1661","775","3902","129839",NA,"TOTAL FEDERAL",NA,NA,"HASSAYAMPA PP",2013
"2310","               Avondale/CSIF  (own facility)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRP","RECHARGE:","Direct","Avondale/CSIF (own facility)","HASSAYAMPA PP",2013
"2311","               CAGRD (AFRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"754","754","754","AFR","RECHARGE:","Direct","CAGRD (AFRP)","HASSAYAMPA PP",2013
"2312","               CAGRD (HMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"2000","2000","2000","HMR","RECHARGE:","Direct","CAGRD (HMRP)","HASSAYAMPA PP",2013
"2313","               Tempe/SRP GRUSP (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRP","RECHARGE:","Direct","Tempe/SRP GRUSP (CSIF)","HASSAYAMPA PP",2013
"2314","               Agua Fria (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,"3034",NA,"3034","1269","3176","2731","7176","10210",NA,"RECHARGE:","Direct AWBA","Agua Fria (AWBA, Direct)","HASSAYAMPA PP",2013
"2315","               Interstate Banking (Agua Fria) (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (Agua Fria) (AWBA, Direct)","HASSAYAMPA PP",2013
"2316","               GRUSP (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","GRUSP (AWBA, Direct)","HASSAYAMPA PP",2013
"2317","               Interstate Banking (GRUSP) (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (GRUSP) (AWBA, Direct)","HASSAYAMPA PP",2013
"2318","               Hieroglyphic (HMRP, AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,"22","1032","1054","1054",NA,"RECHARGE:","Direct AWBA","Hieroglyphic (HMRP, AWBA, Direct)","HASSAYAMPA PP",2013
"2319","               Interstate Banking (Hieroglyphic) (HMRP, AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (Hieroglyphic) (HMRP, AWBA, Direct)","HASSAYAMPA PP",2013
"2320","               New Riv-Agua Fria(NAUSP)/SRP (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","New Riv-Agua Fria(NAUSP)/SRP (AWBA, Direct)","HASSAYAMPA PP",2013
"2321","               East Salt River Valley (ESRV) (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","East Salt River Valley (ESRV) (AWBA, Direct)","HASSAYAMPA PP",2013
"2322","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL INDIRECT",NA,NA,"HASSAYAMPA PP",2013
"2323","               TOTAL RECHARGE","0","0","0","0","0","0","0","0","0","3034","0","3034","1269","3198","6517","10984","14018",NA,"TOTAL RECHARGE",NA,NA,"HASSAYAMPA PP",2013
"2324","            TOTAL DELIVERIES","19031","15343","22378","56752","37684","50236","46972","134892","40893","37349","30400","108642","30795","21813","24753","77361","377647",NA,"TOTAL DELIVERIES",NA,NA,"HASSAYAMPA PP",2013
"2325","Maricopa Water District Lake Water (MWD**)",NA,"2171","3910","6081","5152","5526","5209","15887","3458","2691","2136","8285","3957","2555","111","6623","36876",NA,"Maricopa Water District Lake Water (MWD**)",NA,NA,"HASSAYAMPA PP",2013
"2326","SRP/CAP Exchange Water",NA,NA,NA,"0",NA,NA,"-11007","-11007","-6524",NA,NA,"-6524","-2500",NA,NA,"-2500","-20031",NA,"SRP/CAP Exchange Water",NA,NA,"HASSAYAMPA PP",2013
"2327","Salt River Project Excess ($84/AF Water)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"Salt River Project Excess ($84/AF Water)",NA,NA,"HASSAYAMPA PP",2013
"2328","Temporary Water Permits (various locals)","29","39","32","100","72","111","84","267","209","77","152","438","76","30","14","120","925",NA,"Temporary Water Permits (various locals)",NA,NA,"HASSAYAMPA PP",2013
"2329","Waddell (pumpage)","54064","89116","66664","209844","316",NA,NA,"316",NA,NA,"27530","27530","78545","80601","43033","202179","439869",NA,"Waddell (pumpage)",NA,NA,"HASSAYAMPA PP",2013
"2330","Canal Losses","104","268","474","846","647","742","781","2170","774","596","546","1916","517","413","302","1232","6164",NA,"Canal Losses",NA,NA,"HASSAYAMPA PP",2013
"2331","SEGMENT DEMAND","73228","106937","93458","273623","43871","56615","42039","142525","38810","40713","60764","140287","111390","105412","68213","285015","841450",NA,"SEGMENT DEMAND",NA,NA,"HASSAYAMPA PP",2013
"2332","SEGMENT AVG FLOW (CFS)","1191.2221625754394","1925.9599452489012","1520.3097294747288",NA,"737.45167255000831","920.97343549200457","706.65658093797276",NA,"631.33408162933324","662.29076179786239","1021.4153639267104",NA,"1812.0150309892147","1771.9280551353168","1109.6416312852798",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"HASSAYAMPA PP",2013
"2333","VOLUME PASSING HSY","78934","143928","172020","394882","141106","167488","122341","430935","76030","87911","144368","308309","181225","140639","120118","441982","1576108",NA,"VOLUME PASSING HSY",NA,NA,"HASSAYAMPA PP",2013
"2334","FLOW PASSING HSY (CFS)","1284.0434011679924","2592.1763561703046","2798.3016934263824",NA,"2371.9280551353168","2724.5782701348558","2056.4968902336527",NA,"1236.8031493501212","1430.0749922730304","2426.7608001344761",NA,"2948.0422299220795","2364.077996301899","1953.9960633123485",NA,NA,NA,"FLOW PASSING HSY (CFS)",NA,NA,"HASSAYAMPA PP",2013
"2335","FLOW AT CS19 (CFS)","746.13244839197694","860.96102586269001","1445.9356140094023",NA,"2639.8554378887206","2747.3362289135066","3060.1445621112789",NA,"2525.9870186911326","2599.4501651131391","1777.4415868213146",NA,"1461.5359588762544","786.60279038493866","1079.2380394644802",NA,NA,NA,"FLOW AT CS19 (CFS)",NA,NA,"HASSAYAMPA PP",2013
"2336","                                        PHX  PLP Turnout (AF)","3300","3100","3700",NA,"4200","4800","4600",NA,"4600","4600","4700",NA,"3800","4000","3500",NA,NA,NA,"FLOW AT CS19 (CFS)",NA,"PHX PLP Turnout (AF)","HASSAYAMPA PP",2013
"2337","               WUCFD (Apache Junction)","124","116","125","365","97","71","93","261","107","102","88","297","87","72","104","263","1186","MES + Pump","MUNICIPAL & INDUSTRIAL:","Subcontract","WUCFD (Apache Junction)","SALT GILA PP",2013
"2338","               WUCFD (Apache Junction) - SMRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"50","50","50","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","WUCFD (Apache Junction) - SMRP","SALT GILA PP",2013
"2339","               Arizona Water Co. (Superstition)","93","69","250","412","260","354","418","1032","371","341","289","1001","421","172","188","781","3226","Pumps","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Superstition)","SALT GILA PP",2013
"2340","               Arizona Water Co. (Casa Grande)","43","27","75","145","118","120","203","441","349","306","172","827","120","48","33","201","1614","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Casa Grande)","SALT GILA PP",2013
"2341","               Chandler, City of (SMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"623","623","623","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler, City of (SMRP)","SALT GILA PP",2013
"2342","               Chandler, City of (TP's)",NA,NA,"183","183","949","1134","686","2769",NA,NA,NA,"0",NA,"982","1045","2027","4979","CGT","MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler, City of (TP's)","SALT GILA PP",2013
"2343","               Eloy, City of (Thru MSIDD)","16","29","29","74","42","67","75","184","58","51","35","144","71","21","23","115","517","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Eloy, City of (Thru MSIDD)","SALT GILA PP",2013
"2344","               Florence, Town of (Thru MSIDD)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Florence, Town of (Thru MSIDD)","SALT GILA PP",2013
"2345","               Gilbert, Town of (SMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","726","382",NA,"1108","1108","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert, Town of (SMRP)","SALT GILA PP",2013
"2346","               Gilbert, Town of",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"337","337","1149","1036","1142","3327","3664","CGT","MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert, Town of","SALT GILA PP",2013
"2347","               H2O Inc.","31","18","49","98","12","11","12","35","14",NA,NA,"14",NA,NA,NA,"0","147","QCR","MUNICIPAL & INDUSTRIAL:","Subcontract","H2O Inc.","SALT GILA PP",2013
"2348","               Mesa, City of","1812","854","1505","4171","753","86","5331","6170","5264","5037","4119","14420","4185","3346","2633","10164","34925","MES","MUNICIPAL & INDUSTRIAL:","Subcontract","Mesa, City of","SALT GILA PP",2013
"2349","               CAGRD thru NMIDD",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","CAGRD thru NMIDD","SALT GILA PP",2013
"2350","               Queen Creek, Town of","1",NA,NA,"1","42","0","131","173","115","59",NA,"174",NA,NA,NA,"0","348","QCR","MUNICIPAL & INDUSTRIAL:","Subcontract","Queen Creek, Town of","SALT GILA PP",2013
"2351","               Arizona Pacific Materials, LLC",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Arizona Pacific Materials, LLC","SALT GILA PP",2013
"2352","               Arizona Public Service (APS)","18","8","0","26","8","12","8","28","15","8","8","31","9","0","8","17","102","CGE","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Arizona Public Service (APS)","SALT GILA PP",2013
"2353","               H2O Inc.",NA,NA,"0","0","0","0","0","0","3","19","14","36","93","40","145","278","314","QCR","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","H2O Inc.","SALT GILA PP",2013
"2354","               JADAAL, Inc.","2","2","4","8","4","4","7","15","6","6","5","17","4","4","2","10","50","NM4","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","JADAAL, Inc.","SALT GILA PP",2013
"2355","               LSM Golf, LLC","18","12","42","72","53","71","82","206","71","60","30","161","67","24","15","106","545","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","LSM Golf, LLC","SALT GILA PP",2013
"2356","               Maricopa Drilling Company",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Maricopa Drilling Company","SALT GILA PP",2013
"2357","               Oasis Golf Resort (Johnson Utilities)",NA,NA,NA,"0","7","71","73","151","68","85","85","238","24",NA,NA,"24","413","NM3","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Oasis Golf Resort (Johnson Utilities)","SALT GILA PP",2013
"2358","               Pinal County Dept of Public Works","2","2","4","8","1","1","2","4","2","3","1","6","1","1","1","3","21","NM3","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Pinal County Dept of Public Works","SALT GILA PP",2013
"2359","               Town of, Queen Creek",NA,NA,NA,"0",NA,NA,NA,"0",NA,"16","21","37","15",NA,NA,"15","52","QCR","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Town of, Queen Creek","SALT GILA PP",2013
"2360","               Red Mt Ranch Country Club","21","20","40","81","48","58","73","179","72","54","31","157","66","33","35","134","551","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Red Mt Ranch Country Club","SALT GILA PP",2013
"2361","               Red Mt Ranch/OA","1","1","1","3","1","1","2","4","2","3","0","5","3","1","1","5","17","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Red Mt Ranch/OA","SALT GILA PP",2013
"2362","               Schafer, Todd (Bob White Farms)",NA,NA,"9","9","9","10","10","29","12","16",NA,"28",NA,NA,NA,"0","66","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Schafer, Todd (Bob White Farms)","SALT GILA PP",2013
"2363","               Shea Homes/Encanterra-NMIDD",NA,NA,NA,"0",NA,NA,"28","28","24","12","0","36","21",NA,NA,"21","85","NM1","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Shea Homes/Encanterra-NMIDD","SALT GILA PP",2013
"2364","               San Carlos IDD/Excess",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"16","16","16",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","San Carlos IDD/Excess","SALT GILA PP",2013
"2365","               Viewpoint RV & Golf Resort","16","14","40","70","60","69","44","173","47","32","18","97","52","29","30","111","451","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Viewpoint RV & Golf Resort","SALT GILA PP",2013
"2366","               thru MSIDD (CAGRD)",NA,NA,"231","231",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","231","SRO","MUNICIPAL & INDUSTRIAL:","CAGRD","thru MSIDD (CAGRD)","SALT GILA PP",2013
"2367","               thru NMIDD (CAGRD)",NA,NA,NA,"0",NA,"3000",NA,"3000",NA,"2567","3433","6000",NA,NA,NA,"0","9000",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD","thru NMIDD (CAGRD)","SALT GILA PP",2013
"2368","               thru QCID (CAGRD)",NA,NA,NA,"0",NA,"1271","1729","3000",NA,NA,NA,"0",NA,NA,NA,"0","3000","QCR","MUNICIPAL & INDUSTRIAL:","CAGRD","thru QCID (CAGRD)","SALT GILA PP",2013
"2369","               thru SMRP (CAGRD)",NA,NA,NA,"0",NA,NA,NA,"0","2188","2500","300","4988","907","1200","1098","3205","8193","SMR","MUNICIPAL & INDUSTRIAL:","CAGRD","thru SMRP (CAGRD)","SALT GILA PP",2013
"2370","                    TOTAL M&I","2198","1172","2587","5957","2464","6411","9007","17882","8788","11277","8986","29051","8021","7391","7192","22604","75494",NA,"TOTAL M&I",NA,NA,"SALT GILA PP",2013
"2371","               CAIDD (Santa Rosa)","87","3","573","663","3255","2832","4322","10409","3354","3642","1732","8728","1099","797",NA,"1896","21696","SRO","AGRICULTURAL:","AG Pool","CAIDD (Santa Rosa)","SALT GILA PP",2013
"2372","               Chandler Heights Citris ID",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","QCR","AGRICULTURAL:","AG Pool","Chandler Heights Citris ID","SALT GILA PP",2013
"2373","               Hohokam IDD","826","2351","7528","10705","5795","7000","14273","27068",NA,NA,"2500","2500",NA,NA,NA,"0","40273","KLK/CGE","AGRICULTURAL:","AG Pool","Hohokam IDD","SALT GILA PP",2013
"2374","               Maricopa Stanfield IDD (MSIDD)","2328","503","4985","7816","16981","17733","23199","57913","15174","14961","8087","38222","8706","3461","2066","14233","118184","SRO","AGRICULTURAL:","AG Pool","Maricopa Stanfield IDD (MSIDD)","SALT GILA PP",2013
